core0_status,core1_status,core2_status,core3_status,cpu_freq_345600,cpu_freq_499200,cpu_freq_652800,cpu_freq_806400,cpu_freq_960000,cpu_freq_1113600,cpu_freq_1267200,cpu_freq_1420800,cpu_freq_1574400,cpu_freq_1728000,cpu_freq_1881600,cpu_freq_2035200,gpu_status,gpu_freq_140250000,gpu_freq_497250000,gpu_freq_943500000,gpu_freq_1300500000,emc_status,emc_freq_1062400000,emc_freq_1331200000,emc_freq_1600000000,emc_freq_1866000000,inference_time_w1,inference_time_w2,inference_time_w3,inference_time_w4
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0.221423572964138,0.312328841951158,0.543517933951484,0.909557316038344
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0.214443630642361,0.307416677474976,0.528114901648627,0.90234465069241
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0.233505302005344,0.262337923049927,0.435963021384345,0.713757197062174
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0.217558781305949,0.232797622680664,0.355105400085449,0.656946447160509
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0.204126940833198,0.220097992155287,0.353097491794162,0.627435790167915
1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0.19789547390408,0.2121688524882,0.364222394095527,0.567911227544149
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0.207848310470581,0.227689743041992,0.34931657049391,0.617547035217285
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0.190724478827582,0.206752512190077,0.309928443696764,0.534538507461548
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0.184764597151015,0.194742229249742,0.291970200008816,0.482841438717312
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0.176091776953803,0.186672661039564,0.281688213348389,0.465726190143161
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0.477276007334391,0.885263363520304,1.62768292427063,2.75052732891507
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0.450810326470269,0.911418067084418,1.60006390677558,2.67078068521288
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0.445150189929538,0.879093090693156,1.6129125489129,2.62872423066033
