core0_status,core1_status,core2_status,core3_status,core_freq,gpu_status,gpu_freq,emc_status,emc_freq,inference_time_tx2_inceptionv3_200x200,inference_time_tx2_inceptionv3_400x400,inference_time_tx2_inceptionv3_600x600,inference_time_tx2_inceptionv3_800x800,inference_time_tx2_xception_200x200,inference_time_tx2_xception_400x400,inference_time_tx2_xception_600x600,inference_time_tx2_xception_800x800
1,1,1,0,960000,1,497250000,1,1866000000,0.204234626558092,0.346685065163506,0.599811024136014,0.902866098615858,0.269596762127346,0.416939311557346,0.892587979634603,1.38580065303379
1,1,1,0,960000,1,943500000,1,1062400000,0.227754063076443,0.281010389328003,0.463498036066691,0.728330585691664,0.207139333089193,0.365833653344048,0.677075147628784,1.02115639050802
1,1,1,0,960000,1,943500000,1,1331200000,0.2128746509552,0.262924962573581,0.442125161488851,0.678478797276815,0.194950739542643,0.340800709194607,0.624966674380832,0.95260837343004
1,1,1,0,960000,1,943500000,1,1600000000,0.205467594994439,0.229650868309869,0.420089668697781,0.642302831013997,0.190287033716838,0.324940310584174,0.577911165025499,0.894481314553155
1,1,1,0,960000,1,943500000,1,1866000000,0.201982975006104,0.238234202067057,0.415046215057373,0.624151388804118,0.182547489802043,0.303875764211019,0.582287470499674,0.875013430913289
1,1,1,1,1113600,1,1300500000,1,1062400000,0.208560413784451,0.227338578965929,0.429198556476169,0.624715195761787,0.186646249559191,0.339250511593289,0.609399345186022,0.945408662160238
1,1,1,1,1113600,1,1300500000,1,1331200000,0.193238973617554,0.215061532126533,0.380469348695543,0.549007813135783,0.179421875211928,0.31342429584927,0.511600176493327,0.821030457814535
1,1,1,1,1113600,1,1300500000,1,1600000000,0.18099390135871,0.21107119984097,0.34963321685791,0.519531435436673,0.16833488146464,0.248932361602783,0.48498527208964,0.74734714296129
1,1,1,1,1113600,1,1300500000,1,1866000000,0.179938157399495,0.189314974678887,0.336052788628472,0.499717103110419,0.166448831558228,0.236016750335693,0.45603879292806,0.702266693115234
1,1,1,1,1113600,1,140250000,1,1062400000,0.487801101472643,0.938272794087728,1.65849428706699,2.72107542885674,0.662753846910265,1.24013895458645,2.71157884597778,4.44887977176242
